protein1 protein2 experimental database textmining combined_score
511145.b0023 511145.b3556 800 0 0 800
511145.b0023 511145.b2171 281 0 0 281
511145.b0023 511145.b3316 945 720 0 984
511145.b0023 511145.b3294 945 0 0 945
511145.b0023 511145.b4200 945 720 0 984
511145.b0023 511145.b3185 945 0 0 945
511145.b0023 511145.b4203 945 0 0 945
511145.b0023 511145.b3983 935 0 0 935
511145.b0023 511145.b2891 935 0 0 935
511145.b0023 511145.b0172 886 0 0 885
511145.b0023 511145.b3980 800 0 0 800
511145.b0023 511145.b3309 945 0 0 945
511145.b0023 511145.b0296 905 0 0 905
511145.b0023 511145.b3297 979 720 0 993
511145.b0023 511145.b3186 945 0 0 945
511145.b0023 511145.b4161 819 0 0 818
511145.b0023 511145.b4147 951 0 0 951
511145.b0023 511145.b0191 800 0 0 800
511145.b0023 511145.b3313 945 0 0 945
511145.b0023 511145.b0911 800 720 0 941
511145.b0023 511145.b4391 465 0 0 465
511145.b0023 511145.b0436 800 0 0 800
511145.b0023 511145.b3169 800 0 0 800
511145.b0023 511145.b3314 945 720 0 984
511145.b0025 511145.b2383 204 0 0 204
511145.b0025 511145.b0844 0 900 0 900
511145.b0025 511145.b0980 0 900 0 900
511145.b0025 511145.b1198 455 0 0 455
511145.b0025 511145.b3947 204 0 0 204
511145.b0025 511145.b4055 0 900 0 900
511145.b0025 511145.b3812 0 900 0 900
511145.b0025 511145.b2943 0 0 205 205
511145.b0025 511145.b2819 542 0 0 542
511145.b0026 511145.b3847 139 0 108 199
511145.b0026 511145.b1454 142 97 78 223
511145.b0026 511145.b2400 466 118 284 633
511145.b0026 511145.b2697 184 0 0 183
511145.b0026 511145.b2569 0 0 436 435
511145.b0026 511145.b0838 142 97 78 223
511145.b0026 511145.b3751 508 0 0 508
511145.b0026 511145.b4253 508 0 0 508
511145.b0026 511145.b4129 294 82 761 831
511145.b0026 511145.b0424 457 0 0 457
511145.b0026 511145.b2114 459 200 668 843
511145.b0026 511145.b2908 139 0 108 199
511145.b0026 511145.b0194 625 249 624 884
511145.b0026 511145.b0642 347 249 847 918
511145.b0026 511145.b2301 142 97 78 223
511145.b0026 511145.b2989 142 97 78 223
511145.b0026 511145.b0893 0 0 520 520
511145.b0026 511145.b2780 0 0 451 451
511145.b0026 511145.b2411 508 0 0 508
511145.b0026 511145.b0674 164 0 0 163
511145.b0026 511145.b0144 466 118 138 558
511145.b0026 511145.b3229 142 97 78 223
511145.b0026 511145.b1635 142 97 78 223
511145.b0026 511145.b0975 508 0 0 508
511145.b0026 511145.b0930 460 82 283 613
511145.b0026 511145.b2890 282 82 761 828
511145.b0026 511145.b3592 142 97 78 223
511145.b0026 511145.b0780 508 0 0 508
511145.b0026 511145.b1876 458 249 709 871
511145.b0026 511145.b2699 0 0 370 370
511145.b0026 511145.b1713 194 0 317 425
511145.b0026 511145.b2385 139 0 108 199
511145.b0026 511145.b2302 142 97 78 223
511145.b0026 511145.b0526 0 0 553 553
511145.b0026 511145.b0680 466 118 532 760
511145.b0028 511145.b3314 460 0 0 459
511145.b0028 511145.b3982 0 0 190 190
